Iteracion;Delta;Distancia
430;3.139535;1350.0
431;3.1415312;1354.0
432;3.1412036;1357.0
433;3.1408775;1360.0
434;3.140553;1363.0
435;3.14023;1366.0
436;3.1399083;1369.0
437;3.139588;1372.0
438;3.1415524;1376.0
439;3.14123;1379.0
440;3.1409092;1382.0
441;3.1405895;1385.0
442;3.1402714;1388.0
443;3.1399548;1391.0
444;3.1396396;1394.0
445;3.141573;1398.0
446;3.1412556;1401.0
447;3.1409397;1404.0
448;3.140625;1407.0
449;3.1403117;1410.0
450;3.14;1413.0
451;3.1396897;1416.0
452;3.141593;1420.0
453;3.1412804;1423.0
454;3.1409693;1426.0
455;3.1406593;1429.0
456;3.1403508;1432.0
457;3.1400437;1435.0
458;3.139738;1438.0
459;3.1416123;1442.0
460;3.1413043;1445.0
461;3.140998;1448.0
462;3.1406927;1451.0
463;3.1403887;1454.0
464;3.1400862;1457.0
465;3.139785;1460.0
466;3.141631;1464.0
467;3.1413276;1467.0
468;3.1410255;1470.0
469;3.140725;1473.0
470;3.1404254;1476.0
471;3.1401274;1479.0
472;3.1398306;1482.0
473;3.141649;1486.0
474;3.1413503;1489.0
475;3.1410527;1492.0
476;3.1407564;1495.0
477;3.1404612;1498.0
478;3.1401675;1501.0
479;3.1398747;1504.0
480;3.1416667;1508.0
481;3.1413722;1511.0
482;3.141079;1514.0
483;3.1407866;1517.0
484;3.1404958;1520.0
485;3.140206;1523.0
486;3.1399176;1526.0
487;3.1396303;1529.0
488;3.1413934;1533.0
489;3.1411042;1536.0
490;3.1408162;1539.0
491;3.1405296;1542.0
492;3.140244;1545.0
493;3.1399593;1548.0
494;3.139676;1551.0
495;3.1414142;1555.0
496;3.141129;1558.0
497;3.140845;1561.0
498;3.1405623;1564.0
499;3.1402805;1567.0
500;3.14;1570.0
501;3.1397204;1573.0
502;3.1414342;1577.0
503;3.141153;1580.0
504;3.140873;1583.0
505;3.140594;1586.0
506;3.1403162;1589.0
507;3.1400394;1592.0
508;3.1397638;1595.0
509;3.1414537;1599.0
510;3.1411765;1602.0
511;3.1409001;1605.0
512;3.140625;1608.0
513;3.1403508;1611.0
514;3.1400778;1614.0
515;3.1398058;1617.0
516;3.1414728;1621.0
517;3.141199;1624.0
518;3.1409266;1627.0
519;3.140655;1630.0
520;3.1403847;1633.0
521;3.1401153;1636.0
522;3.1398468;1639.0
523;3.1414914;1643.0
524;3.1412213;1646.0
525;3.1409523;1649.0
526;3.1406844;1652.0
527;3.1404176;1655.0
528;3.1401515;1658.0
529;3.1398866;1661.0
530;3.1415095;1665.0
531;3.141243;1668.0
532;3.1409774;1671.0
533;3.140713;1674.0
534;3.1404495;1677.0
535;3.140187;1680.0
536;3.1399255;1683.0
537;3.141527;1687.0
538;3.141264;1690.0
539;3.141002;1693.0
540;3.1407406;1696.0
541;3.1404805;1699.0
542;3.1402214;1702.0
543;3.1399632;1705.0
544;3.141544;1709.0
545;3.1412845;1712.0
546;3.1410255;1715.0
547;3.1407678;1718.0
548;3.140511;1721.0
549;3.140255;1724.0
550;3.14;1727.0
551;3.139746;1730.0
552;3.1413043;1734.0
553;3.141049;1737.0
554;3.1407943;1740.0
555;3.1405406;1743.0
556;3.1402879;1746.0
557;3.1400359;1749.0
558;3.139785;1752.0
559;3.1413238;1756.0
560;3.1410713;1759.0
561;3.14082;1762.0
562;3.1405694;1765.0
563;3.1403198;1768.0
564;3.140071;1771.0
565;3.139823;1774.0
566;3.1413426;1778.0
567;3.1410935;1781.0
568;3.140845;1784.0
569;3.1405976;1787.0
570;3.1403508;1790.0
571;3.140105;1793.0
572;3.1398602;1796.0
573;3.1413612;1800.0
574;3.141115;1803.0
575;3.1408696;1806.0
576;3.140625;1809.0
577;3.1403813;1812.0
578;3.1401384;1815.0
579;3.1398964;1818.0
580;3.1413794;1822.0
581;3.141136;1825.0
582;3.1408935;1828.0
583;3.1406517;1831.0
584;3.140411;1834.0
585;3.140171;1837.0
586;3.1399317;1840.0
587;3.141397;1844.0
588;3.1411564;1847.0
589;3.1409168;1850.0
590;3.140678;1853.0
591;3.14044;1856.0
592;3.1402028;1859.0
593;3.1399662;1862.0
594;3.1414142;1866.0
595;3.1411765;1869.0
596;3.1409397;1872.0
597;3.1407034;1875.0
598;3.1404681;1878.0
599;3.1402338;1881.0
600;3.14;1884.0
601;3.1414309;1888.0
602;3.141196;1891.0
603;3.140962;1894.0
604;3.1407285;1897.0
605;3.1404958;1900.0
606;3.140264;1903.0
607;3.140033;1906.0
608;3.1414473;1910.0
609;3.141215;1913.0
610;3.1409836;1916.0
611;3.1407528;1919.0
612;3.140523;1922.0
613;3.1402936;1925.0
614;3.1400652;1928.0
615;3.1398375;1931.0
616;3.1412337;1935.0
617;3.1410048;1938.0
618;3.1407766;1941.0
619;3.1405492;1944.0
620;3.1403227;1947.0
621;3.1400967;1950.0
622;3.1398714;1953.0
623;3.141252;1957.0
624;3.1410255;1960.0
625;3.1408;1963.0
626;3.1405752;1966.0
627;3.1403508;1969.0
628;3.1401274;1972.0
629;3.1399045;1975.0
630;3.14127;1979.0
631;3.141046;1982.0
632;3.140823;1985.0
633;3.1406002;1988.0
634;3.1403785;1991.0
635;3.1401575;1994.0
636;3.1399372;1997.0
637;3.1412873;2001.0
638;3.1410658;2004.0
639;3.140845;2007.0
640;3.140625;2010.0
641;3.1404057;2013.0
642;3.140187;2016.0
643;3.1399689;2019.0
644;3.1413043;2023.0
645;3.1410854;2026.0
646;3.1408668;2029.0
647;3.140649;2032.0
648;3.1404321;2035.0
649;3.1402156;2038.0
650;3.14;2041.0
651;3.141321;2045.0
652;3.1414874;2048.2498
653;3.1393569;2050.0
654;3.1406727;2054.0
655;3.1419847;2058.0
656;3.140244;2060.0
657;3.1415524;2064.0
658;3.1398177;2066.0
659;3.1411228;2070.0
660;3.139394;2072.0
661;3.1406958;2076.0
662;3.141994;2080.0
663;3.1402714;2082.0
664;3.1415663;2086.0
665;3.1398497;2088.0
666;3.1411412;2092.0
667;3.1394303;2094.0
668;3.1407185;2098.0
669;3.142003;2102.0
670;3.1402986;2104.0
671;3.1415796;2108.0
672;3.139881;2110.0
673;3.141159;2114.0
674;3.1394658;2116.0
675;3.1407406;2120.0
676;3.142012;2124.0
677;3.140325;2126.0
678;3.141593;2130.0
679;3.1399117;2132.0
680;3.1411765;2136.0
681;3.1395006;2138.0
682;3.1407626;2142.0
683;3.1420205;2146.0
684;3.1403508;2148.0
685;3.1416059;2152.0
686;3.1399417;2154.0
687;3.1411936;2158.0
688;3.139535;2160.0
689;3.1407838;2164.0
690;3.142029;2168.0
691;3.1403763;2170.0
692;3.1416185;2174.0
693;3.1399713;2176.0
694;3.1412103;2180.0
695;3.1395683;2182.0
696;3.1408045;2186.0
697;3.1420374;2190.0
698;3.1404011;2192.0
699;3.141631;2196.0
700;3.14;2198.0
701;3.1412268;2202.0
702;3.1396012;2204.0
703;3.140825;2208.0
704;3.1420455;2212.0
705;3.1404254;2214.0
706;3.141643;2218.0
707;3.1400282;2220.0
708;3.141243;2224.0
709;3.1396332;2226.0
710;3.140845;2230.0
711;3.1392405;2232.0
712;3.1404495;2236.0
713;3.141655;2240.0
714;3.1400561;2242.0
715;3.1412587;2246.0
716;3.139665;2248.0
717;3.1408646;2252.0
718;3.1392758;2254.0
719;3.140473;2258.0
720;3.1416667;2262.0
721;3.1400833;2264.0
722;3.1412742;2268.0
723;3.1396956;2270.0
724;3.140884;2274.0
725;3.1393104;2276.0
726;3.1404958;2280.0
727;3.141678;2284.0
728;3.1401098;2286.0
729;3.1412895;2290.0
730;3.139726;2292.0
731;3.1409028;2296.0
732;3.1393442;2298.0
733;3.1405184;2302.0
734;3.1416893;2306.0
735;3.140136;2308.0
736;3.1413043;2312.0
737;3.1397557;2314.0
738;3.1409214;2318.0
739;3.1393776;2320.0
740;3.1405406;2324.0
741;3.1417005;2328.0
742;3.1401618;2330.0
743;3.141319;2334.0
744;3.139785;2336.0
745;3.1409397;2340.0
746;3.1394103;2342.0
747;3.1405623;2346.0
748;3.1417112;2350.0
749;3.140187;2352.0
750;3.1413333;2356.0
751;3.1398137;2358.0
752;3.1409574;2362.0
753;3.1394422;2364.0
754;3.1405835;2368.0
755;3.141722;2372.0
756;3.1402116;2374.0
757;3.1413474;2378.0
758;3.1398418;2380.0
759;3.140975;2384.0
760;3.1394737;2386.0
761;3.1406045;2390.0
762;3.1417322;2394.0
763;3.140236;2396.0
764;3.1413612;2400.0
765;3.1398692;2402.0
766;3.1409922;2406.0
767;3.1395047;2408.0
768;3.140625;2412.0
769;3.1417425;2416.0
770;3.1402597;2418.0
771;3.1413748;2422.0
772;3.1398964;2424.0
773;3.141009;2428.0
774;3.139535;2430.0
775;3.1406453;2434.0
776;3.1417525;2438.0
777;3.140283;2440.0
778;3.1413882;2444.0
779;3.139923;2446.0
780;3.1410255;2450.0
781;3.1395648;2452.0
782;3.140665;2456.0
783;3.1417625;2460.0
784;3.1403062;2462.0
785;3.1414013;2466.0
786;3.139949;2468.0
787;3.141042;2472.0
788;3.1395938;2474.0
789;3.1406844;2478.0
790;3.1417723;2482.0
791;3.1403286;2484.0
792;3.1414142;2488.0
793;3.1399748;2490.0
794;3.141058;2494.0
795;3.1396227;2496.0
796;3.1407034;2500.0
797;3.1417816;2504.0
798;3.1403508;2506.0
799;3.1414268;2510.0
800;3.14;2512.0
801;3.1410737;2516.0
